package_id,address_id,available_time,delivery_deadline,weight,required_truck,delivery_group_id,wrong_address
1,5,8:00,10:30,21,0,0,FALSE
2,9,8:00,17:00,44,0,0,FALSE
3,8,8:00,17:00,2,2,0,FALSE
4,18,8:00,17:00,4,0,0,FALSE
5,19,8:00,17:00,5,0,0,FALSE
6,13,9:05,10:30,88,0,0,FALSE
7,2,8:00,17:00,8,0,0,FALSE
8,12,8:00,17:00,9,0,0,TRUE
9,12,10:20,17:00,2,0,0,FALSE
10,25,8:00,17:00,1,0,0,FALSE
11,10,8:00,17:00,1,0,0,FALSE
12,16,8:00,17:00,1,0,0,FALSE
13,6,8:00,10:30,2,0,1,FALSE
14,20,8:00,10:30,88,0,1,FALSE
15,21,8:00,9:00,4,0,1,FALSE
16,21,8:00,10:30,88,0,1,FALSE
17,14,8:00,17:00,2,0,0,FALSE
18,3,8:00,17:00,6,2,0,FALSE
19,4,8:00,17:00,37,0,1,FALSE
20,17,8:00,10:30,37,0,1,FALSE
21,17,8:00,17:00,3,0,0,FALSE
22,26,8:00,17:00,2,0,0,FALSE
23,23,8:00,17:00,5,0,0,FALSE
24,22,8:00,17:00,7,0,0,FALSE
25,24,9:05,10:30,7,0,0,FALSE
26,24,8:00,17:00,25,0,0,FALSE
27,1,8:00,17:00,5,0,0,FALSE
28,11,9:05,17:00,7,0,0,FALSE
29,2,8:00,10:30,2,0,0,FALSE
30,12,8:00,10:30,1,0,0,FALSE
31,15,8:00,10:30,1,0,0,FALSE
32,15,9:05,17:00,1,0,0,FALSE
33,9,8:00,17:00,1,0,0,FALSE
34,21,8:00,10:30,2,0,0,FALSE
35,1,8:00,17:00,88,0,0,FALSE
36,7,8:00,17:00,88,2,0,FALSE
37,19,8:00,10:30,2,0,0,FALSE
38,19,8:00,17:00,9,2,0,FALSE
39,6,8:00,17:00,9,0,0,FALSE
40,18,8:00,10:30,45,0,0,FALSE
